"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"11/12/2019","week3","tank1_control_yes_Red","D15",16.3606533333333,1.6431676725155,"tank1","control","yes","Red",0.496625886505142,2.79487926517755,15,2.70805020110221
"11/8/2019","week3","tank4_heating_yes_Yellow","D11",25.2786978366667,1.30384048104053,"tank4","heating","yes","Yellow",0.265314125531085,3.22996205832646,11,2.39789527279837
"11/8/2019","week3","tank4_heating_no_Yellow","D11",31.8743068433333,1.78885438199983,"tank4","heating","no","Yellow",0.58157540490284,3.46180025715064,11,2.39789527279837
"11/8/2019","week3","tank3_heating_yes_Yellow","D11",22.3770375233333,2.28035085019828,"tank3","heating","yes","Yellow",0.824329312793691,3.10803532251033,11,2.39789527279837
"11/8/2019","week3","tank3_heating_no_Yellow","D11",29.7484716933333,3.03315017762062,"tank3","heating","no","Yellow",1.1096017420275,3.39277775901941,11,2.39789527279837
"11/8/2019","week3","tank2_control_yes_Yellow","D11",16.3080704666667,1.58113883008419,"tank2","control","yes","Yellow",0.458145365937078,2.79166010593533,11,2.39789527279837
"11/8/2019","week3","tank1_control_yes_Yellow","D11",16.33821498,1.09544511501033,"tank1","control","yes","Yellow",0.0911607783969772,2.79350684111442,11,2.39789527279837
"11/9/2019","week3","tank4_heating_yes_Yellow","D12",25.3946,1.30384048104053,"tank4","heating","yes","Yellow",0.265314125531085,3.23453655299705,12,2.484906649788
"11/9/2019","week3","tank4_heating_no_Yellow","D12",31.8839066666667,2.07364413533277,"tank4","heating","no","Yellow",0.729307511349758,3.46210138928334,12,2.484906649788
"11/9/2019","week3","tank3_heating_yes_Yellow","D12",26.3677466666667,3.89871773792359,"tank3","heating","yes","Yellow",1.36064771392612,3.27214154607573,12,2.484906649788
"11/9/2019","week3","tank3_heating_no_Yellow","D12",30.4848966666667,1.51657508881031,"tank3","heating","no","Yellow",0.416454561467552,3.41723136970885,12,2.484906649788
"11/10/2019","week3","tank4_heating_yes_Yellow","D13",25.3656266666667,1.14017542509914,"tank4","heating","yes","Yellow",0.131182132233746,3.23339497667312,13,2.56494935746154
"11/10/2019","week3","tank4_heating_no_Yellow","D13",33.4105666666667,1.6431676725155,"tank4","heating","no","Yellow",0.496625886505142,3.50887221721455,13,2.56494935746154
"11/11/2019","week3","tank4_heating_no_Yellow","D14",34.38993,1.4142135623731,"tank4","heating","no","Yellow",0.346573590279973,3.53776378896667,14,2.63905732961526
"11/11/2019","week3","tank3_heating_yes_Yellow","D14",26.25226,4.08656334834051,"tank3","heating","yes","Yellow",1.40770435971135,3.26775208056975,14,2.63905732961526
"11/11/2019","week3","tank3_heating_no_Yellow","D14",29.1913533333333,1.4142135623731,"tank3","heating","no","Yellow",0.346573590279973,3.37387254670097,14,2.63905732961526
