DateTime,Temp
8/10/2020 17:15,31.83
8/10/2020 17:30,31.06
8/10/2020 17:45,31.19
8/10/2020 18:00,26.42
8/10/2020 18:15,23.29
8/10/2020 18:30,22.91
8/10/2020 18:45,22.86
8/10/2020 19:00,22.86
8/10/2020 19:15,22.82
8/10/2020 19:30,22.78
8/10/2020 19:45,22.82
8/10/2020 20:00,22.78
8/10/2020 20:15,22.95
8/10/2020 20:30,23.29
8/10/2020 20:45,23.46
8/10/2020 21:00,23.98
8/10/2020 21:15,23.98
8/10/2020 21:30,23.89
8/10/2020 21:45,23.64
8/10/2020 22:00,22.91
8/10/2020 22:15,23.16
8/10/2020 22:30,22.95
8/10/2020 22:45,22.86
8/10/2020 23:00,22.73
8/10/2020 23:15,22.65
8/10/2020 23:30,22.65
8/10/2020 23:45,22.61
8/11/2020 0:00,22.52
8/11/2020 0:15,22.48
8/11/2020 0:30,22.39
8/11/2020 0:45,22.39
8/11/2020 1:00,22.35
8/11/2020 1:15,22.31
8/11/2020 1:30,22.26
8/11/2020 1:45,22.26
8/11/2020 2:00,22.35
8/11/2020 2:15,22.39
8/11/2020 2:30,22.39
8/11/2020 2:45,22.31
8/11/2020 3:00,22.26
8/11/2020 3:15,22.09
8/11/2020 3:30,21.96
8/11/2020 3:45,22.01
8/11/2020 4:00,21.92
8/11/2020 4:15,21.88
8/11/2020 4:30,21.7
8/11/2020 4:45,21.62
8/11/2020 5:00,21.7
8/11/2020 5:15,21.66
8/11/2020 5:30,21.62
8/11/2020 5:45,21.66
8/11/2020 6:00,21.75
8/11/2020 6:15,21.36
8/11/2020 6:30,22.05
8/11/2020 6:45,22.13
8/11/2020 7:00,22.18
8/11/2020 7:15,22.18
8/11/2020 7:30,22.18
8/11/2020 7:45,22.22
8/11/2020 8:00,22.22
8/11/2020 8:15,22.22
8/11/2020 8:30,22.26
8/11/2020 8:45,22.26
8/11/2020 9:00,22.31
8/11/2020 9:15,22.35
8/11/2020 9:30,22.35
8/11/2020 9:45,22.52
8/11/2020 10:00,22.78
8/11/2020 10:15,23.38
8/11/2020 10:30,24.71
8/11/2020 10:45,25.01
8/11/2020 11:00,24.19
8/11/2020 11:15,24.06
8/11/2020 11:30,24.06
8/11/2020 11:45,24.19
8/11/2020 12:00,24.28
8/11/2020 12:15,24.45
8/11/2020 12:30,24.92
8/11/2020 12:45,24.92
8/11/2020 13:00,24.92
8/11/2020 13:15,24.84
8/11/2020 13:30,24.97
8/11/2020 13:45,24.88
8/11/2020 14:00,25.09
8/11/2020 14:15,25.22
8/11/2020 14:30,25.27
8/11/2020 14:45,25.01
8/11/2020 15:00,25.14
8/11/2020 15:15,25.22
8/11/2020 15:30,24.88
8/11/2020 15:45,25.05
8/11/2020 16:00,25.35
8/11/2020 16:15,25.87
8/11/2020 16:30,27.02
8/11/2020 16:45,28.18
8/11/2020 17:00,29.81
8/11/2020 17:15,30.46
8/11/2020 17:30,30.54
8/11/2020 17:45,30.46
8/11/2020 18:00,30.41
8/11/2020 18:15,30.37
8/11/2020 18:30,30.07
8/11/2020 18:45,23.98
8/11/2020 19:00,23.03
8/11/2020 19:15,22.78
8/11/2020 19:30,22.78
8/11/2020 19:45,22.73
8/11/2020 20:00,22.78
8/11/2020 20:15,22.73
8/11/2020 20:30,22.61
8/11/2020 20:45,22.73
8/11/2020 21:00,22.78
8/11/2020 21:15,22.95
8/11/2020 21:30,23.42
8/11/2020 21:45,23.64
8/11/2020 22:00,23.34
8/11/2020 22:15,22.99
8/11/2020 22:30,22.18
8/11/2020 22:45,22.31
8/11/2020 23:00,22.05
8/11/2020 23:15,21.83
8/11/2020 23:30,21.79
8/11/2020 23:45,21.49
8/12/2020 0:00,21.15
8/12/2020 0:15,21.19
8/12/2020 0:30,21.02
8/12/2020 0:45,21.23
8/12/2020 1:00,20.89
8/12/2020 1:15,20.46
8/12/2020 1:30,20.76
8/12/2020 1:45,21.45
8/12/2020 2:00,21.4
8/12/2020 2:15,21.58
8/12/2020 2:30,21.49
8/12/2020 2:45,21.49
8/12/2020 3:00,21.49
8/12/2020 3:15,21.4
8/12/2020 3:30,21.32
8/12/2020 3:45,21.28
8/12/2020 4:00,21.15
8/12/2020 4:15,21.02
8/12/2020 4:30,20.76
8/12/2020 4:45,20.46
8/12/2020 5:00,19.86
8/12/2020 5:15,19.69
8/12/2020 5:30,19.6
8/12/2020 5:45,19.56
8/12/2020 6:00,19.47
8/12/2020 6:15,19.39
8/12/2020 6:30,19.6
8/12/2020 6:45,20.72
8/12/2020 7:00,21.36
8/12/2020 7:15,21.92
8/12/2020 7:30,22.09
8/12/2020 7:45,22.18
8/12/2020 8:00,22.22
8/12/2020 8:15,22.22
8/12/2020 8:30,22.22
8/12/2020 8:45,22.31
8/12/2020 9:00,22.39
8/12/2020 9:15,22.43
8/12/2020 9:30,22.52
8/12/2020 9:45,22.56
8/12/2020 10:00,22.69
8/12/2020 10:15,22.86
8/12/2020 10:30,23.25
8/12/2020 10:45,24.19
8/12/2020 11:00,24.79
8/12/2020 11:15,25.57
8/12/2020 11:30,26.51
8/12/2020 11:45,26.94
8/12/2020 12:00,27.45
8/12/2020 12:15,27.41
8/12/2020 12:30,27.11
8/12/2020 12:45,27.28
8/12/2020 13:00,27.28
