"date","day","temp","time","tank","day_tank","pot","treatment","stand_water","individual","line_length","deltaL","datetime","week","labels_datetime","Temperature","ccLabel"
"10/24/2019","D1",20,"10:30","tank2","D1_C2","CNW","control","no","Black",224,0,"10/24/2019 10:30","week1","tank2_control_no_10/24/2019 10:30",17.25855592,"tank2_control_no_Black"
"10/24/2019","D1",20,"10:30","tank1","D1_C1","CW","control","yes","Black",230,0,"10/24/2019 10:30","week1","tank1_control_yes_10/24/2019 10:30",17.07868083,"tank1_control_yes_Black"
"10/24/2019","D1",20,"10:30","tank1","D1_C1","CNW","control","no","Black",224,0,"10/24/2019 10:30","week1","tank1_control_no_10/24/2019 10:30",16.62181199,"tank1_control_no_Black"
"10/25/2019","D2",20,"10:30","tank4","D2_H1","HW","heating","yes","Black",225,0,"10/25/2019 10:30","week1","tank4_heating_yes_10/25/2019 10:30",15.99672912,"tank4_heating_yes_Black"
"10/25/2019","D2",20,"10:30","tank4","D2_H1","HNW","heating","no","Black",225,0,"10/25/2019 10:30","week1","tank4_heating_no_10/25/2019 10:30",16.3132698,"tank4_heating_no_Black"
"10/25/2019","D2",20,"10:30","tank3","D2_H2","HW","heating","yes","Black",223,0,"10/25/2019 10:30","week1","tank3_heating_yes_10/25/2019 10:30",16.30756819,"tank3_heating_yes_Black"
"10/25/2019","D2",20,"10:30","tank3","D2_H2","HNW","heating","no","Black",218,0,"10/25/2019 10:30","week1","tank3_heating_no_10/25/2019 10:30",16.2815378,"tank3_heating_no_Black"
"10/25/2019","D2",20,"10:30","tank2","D2_C2","CW","control","yes","Black",222,0,"10/25/2019 10:30","week1","tank2_control_yes_10/25/2019 10:30",16.81996719,"tank2_control_yes_Black"
"10/25/2019","D2",20,"10:30","tank2","D2_C2","CNW","control","no","Black",223,0,"10/25/2019 10:30","week1","tank2_control_no_10/25/2019 10:30",17.01749214,"tank2_control_no_Black"
"10/25/2019","D2",20,"10:30","tank1","D2_C1","CW","control","yes","Black",229,0,"10/25/2019 10:30","week1","tank1_control_yes_10/25/2019 10:30",16.90558492,"tank1_control_yes_Black"
